samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
072-33,"<p>16-17. It shall be dedicated to Śiva with his mantras. The devotee shall seek refuge in Dakṣiṇāmūrti. He who performs the worship with the auspicious five scents shall be freed from all sins. He shall be honoured in Śiva&rsquo;s region. This holy Vrata of Śiva liṅga is the most excellent, a great secret.</p>",,
072-33,"<p>18. This has been mentioned to you since you are a great devotee. This shall not be given to any one and everyone. It shall be given to devotees of Śiva as mentioned by Śiva formerly.</p>",,
072-34,"<h1>Chapter 34 - The delusion of Viṣṇu and Brahmā (1)</h1>",,
072-34,"<h2><em>Upamanyu said</em>:&mdash;</h2>",,
072-34,"<p>1. The achievement of benefit that has been mentioned here from the Nitya, Naimittika and Kāmya rites can entirely be secured immediately by installing the phallic and the bodily image of Śiva.</p>",,
072-34,"<p>2. The world is in the form of Liṅga. Everything is founded on Liṅga. Hence if the Liṅga is installed, everything is installed.</p>",,
072-34,"<p>3. It is only by resorting to the installation of the Liṅga that Brahmā, Viṣṇu, Rudra or other deities maintain their splendour.</p>",,
072-34,"<p>4. What more reason can be advanced for the installation of Liṅga than that Liṅga of Viśveśvara has been installed by Śiva too?</p>",,
072-34,"<p>5. Hence by all means one shall install the phallic or the bodily image of Śiva for his welfare here and hereafter.</p>",,
072-34,"<h2><em>Śrī Kṛṣṇa said</em>:&mdash;</h2>",,
072-34,"<p>6. What is a Liṅga? How is lord Śiva a Liṅgin? How did he have the status of a Liṅga? Why is he worshipped in it?</p>",,
072-34,"<h2><em>Upamanyu said</em>:&mdash;</h2>",,
072-34,"<p>7. The unmanifest is called the Liṅga. It is the source of attributes as well as that wherein the universe merges and dissolves. It has neither beginning nor end. It is the material cause of the universe.</p>",,
072-34,"<p>8. It is the Māyā, the Mūlaprakṛti as extensive as the firmament. This universe including the mobile and immobile beings is born of that.</p>",,
072-34,"<p>9. The universe is of three types: the impure, pure and the pure-impure. From the Liṅga are born Śiva, Maheśa, Rudra, Viṣṇu and Brahmā.</p>",,
072-34,"<p>10. The Bhūtas with the sense-organs merge into this at the bidding of Śiva, He is Liṅgin since he commands the Liṅga.</p>",,
072-34,"<p>11-12. Since the Liṅga can do nothing by itself without being commanded by Śiva, since the dissolution of the universe born of it is only within it, this constitutes the state of being Liṅga in Śiva and not due to any other reason. The Liṅga is the body of Śiva and Śivā because it is presided over by them.</p>",,
072-34,"<p>13. Hence Śiva is worshipped therein for ever along with Śivā. The goddess is the pedestal of the Liṅga and Liṅga is lord Śiva himself.</p>",,
072-34,"<p>14. By the worship of Liṅga alone, Śiva and Śivā are worshipped. Their having the Liṅga for their body is not the ultimate reality.</p>",,
072-34,"<p>15-16. Since they are pure it is their body only in a secondary sense. That is the great Śakti of Śiva the great Ātman. Śakti at the behest of Śiva gives birth to mobile and immobile beings. One cannot describe the glory of the Liṅga, even in hundreds of years, by which Brahmā and Viṣṇu were deluded at the outset.</p>",,
072-34,"<p>17-19. Formerly when the universe was in the state of dissolution, Viṣṇu lying on his couch in the waters went into deep slumber. He lay comfortably asleep. Brahmā the grandfather of the worlds casually went there. He saw the lotus-eyed Viṣṇu sleeping undisturbedly. Deluded by the Māyā of Śiva, Brahmā said to Viṣṇu.</p>",,
072-34,"<p>20-21. &ldquo;Who are you? Tell me&rdquo;.?o saying he hit Viṣṇu angrily and wakened him. Struck by the blow of his hand Viṣṇu woke up in a trice and got up from his bed. He saw Brahmā there. Viṣṇu though infuriated within addressed him politely.</p>",,
072-34,"<p>22-25. &ldquo;O dear son, whence have you come? Why are you agitated? Tell me.&rdquo; On hearing the words of Viṣṇu, indicative of his lordly attitude Brahmā felt irritated due to his Rājasic qualities and spoke again. &ldquo;Why do you address me as &lsquo;dear son&rsquo; like a preceptor calling his disciple? Don&rsquo;t you know that I am the lord. This universe is my creation. After dividing myself into three, I create, protect and annihilate. There is none in the universe who has created me.&rdquo; When thus addressed Viṣṇu said to Brahmā.</p>",,
072-34,"<p>26-30. &ldquo;I am the primordial creator of this universe, the protector and the annihilator. You too, O sir, were born of me formerly. At my unthwartable bidding you divided yourself into three and began creation. You create the three worlds, protect, dissolve and re-create it. You forget Viṣṇu the lord of the universe free from ailments. You insult even me, your father. It is not your fault. You have been deluded by my Māyā. Due to my favour this delusion of yours will disappear ere long. O Brahmā, listen to the truth. I am the lord of all gods. I am the creator, sustainer and annihilator. There is no other lord equal to me.&rdquo;</p>",,
072-34,"<p>31. A verbal dispute between Brahmā and Viṣṇu arose thus. Thereafter a terrible fight ensued causing horripilation.</p>",,
072-34,"<p>32-36. Due to Rājasic quality they fought and hit each other with fists. In order to dispel their arrogance and to enlighten them, the wonderful Liṅga of the lord appeared in between them. It had thousands of flames. It was incomprehensible and incomparable. It did not increase or decrease. It had no beginning, no middle, no end. Brahmā and Viṣṇu were enchanted by thousands of flames. Ceasing from their fight they began to think &ldquo;What is this?&rdquo; When they could not understand the reality they attempted to survey its beginning and end.</p>",,
072-34,"<p>37. Brahmā took the form of a swan with wings all round and went up assiduously with the speed of the mind or wind.</p>",,
072-34,"<p>38. Viṣṇu, the Ātman of the universe, assumed the form of a Boar resembling a mass of collyrium and went downwards.</p>",,
072-34,"<p>39. Thus hastening down for a thousand years he did not have even a glimpse of the root of Liṅga,</p>",,
072-34,"<p>40. Meanwhile, Brahmā too was going up to know his top. But unable to see the end he became exhausted and fell down.</p>",,
072-34,"<p>41. Similarly the weary Viṣṇu with dejected mind due to the great distress quickly rose up from below.</p>",,
072-34,"<p>42. When they met each other again they were completely perplexed and stared at each other with a smile of shame. Deluded by the Māyā of Śiva they did not know what to do or what not to do.</p>",,
072-34,"<p>43. They stood in front, at the back and on cither side of it and bowed. They began to think &ldquo;Of what nature is this?&rdquo;</p>",,
072-35,"<h1>Chapter 35 - The delusion of Viṣṇu and Brahmā (2)</h1>",,
072-35,"<h2><em>Upamanyu said</em>:&mdash;</h2>",,
072-35,"<p>1. Then there manifested the single-syllabled Brahman in the characteristic way o [?] a word with its sound &lsquo;Om&rsquo;. It expressed the Brahman.</p>",,
072-35,"<p>2. That too was incomprehensible to Brahmā and Viṣṇu because their minds had been screened with Rajas and Tamas.</p>",,
072-35,"<p>3. Then that syllable divided itself into four, the three Mātrās&mdash;A, U, Ma and half the Mātrā thereafter.</p>",,
072-35,"<p>4. The letter &lsquo;a&rsquo; attached itself to the southern side of the blazing Liṅga, the letter &ldquo;u&rdquo; to the north and the letter &ldquo;ma&rdquo; to its middle.</p>",,
072-35,"<p>5-6. The half a Mātrā sound was heard on the head of the Liṅga. Even when the great syllable Praṇava was divided, the two gods did not understand the purpose of division. The unmanifest Praṇava then underwent the change into the Veda.</p>",,
072-35,"<p>7. There the letter &ldquo;a&rdquo; became the Ṛgveda, the letter &ldquo;u&rdquo; the Yajurveda, the letter &ldquo;ma&rdquo; the Sāmaveda and the Nāda the Atharvaveda.</p>",,
072-35,"<p>8-10. The Ṛgveda established half of itself succinctly. Thus Brahmā possessed of the Rajas, the first among the deities in rites also, the creator of the worlds and the principles as well as the unchanging Ātman; Nivṛtti in the path of Kalā and Sadyojāta in the five Brahmans, the lower portion in the parts of Liṅga and the source in the three reasons. It established the sixty-four Guṇas and Aiśvarya of the cosmic intellect Aṇimā etc. Thus with the ten topics the universe was pervaded by the Ṛgveda.</p>",,
072-35,"<p>11-13. Then the Yajurveda established itself in the ten ways: Sattva among the attributes, Viṣṇu the first among the deities in the rites also, sustenance in the worlds and the firmament, Vidyā in the three principles, Pratiṣṭhā in the paths of Kalā and Vāmadeva in the five Brahmans, the parts of Liṅga and Yoni in the three causes. The Prākṛta was established in accordance with the Aiśvarya. Hence the universe is of the form of the Yajurveda.</p>",,
072-35,"<p>14-16. Similarly the Sāmaveda established itself in ten ways. It established Tamas and Rudra the first among the deities in the rites, annihilation in the three worlds and the excellent Śiva in the Tattvas, Aghora in the five Brahmans and Vidyā among the Kalās, the upper seat in the parts of the Liṅga and the source in the three causes. So also the Aiśvarya of the Puruṣa. Thus the universe is pervaded by the Sāman.</p>",,
072-35,"<p>17-20. Then the Atharvaveda established itself thus. It was devoid of Guṇas. It placed Maheśvara, Sadāśiva as the first among the deities. Though the great Ātman, Śiva is devoid of activities. It established Sadāśiva for the purpose of activities. It created pure blessing whereby the creatures are liberated. Above the worlds, where the words recede along with the mind are the Unmanā worlds over which is the divine Somaloka where the lord stays with Umā.</p>",,
